SKU,Product Title,QTY,Expiring QTY,Days till Expiration,Sell Out in Days,Unit Cost,Retail Price,Net Weight,Unit Gross Weight (g),Vendor-L,Farm Level,Product Type,Cacaonum,Allergens,Awards,Chocolate Type,Diet Icons,Exceeds Sellout,Source Country,Inclusion or Flavor,Tags-L
A-LUI-103,Luisa Abram Rio Acará Wild Cocoa 70%,135,15,371,368,$7.55,$16.75,80,99.79,Luisa Abram,"Farm 3,Farm 1,Farm 2",Chocolate Bars,70,"Trace Dairy,Trace Peanuts,Sesame Free,Soy Free,Trace Tree Nuts,Gluten Free",AOC gold 2018,"Dark,Plain","Organic Sugar,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy",-2.82,Brazil,,"fruity,has-award,marginlow,marginmid,mcountry-Brazil,region-Para"
A-LUI-105,Luisa Abram Rio Purús Wild Cocoa 70%,72,36,737,498,$6.29,$14.00,80,99.79,Luisa Abram,"Farm 3,Farm 1,Farm 2",Chocolate Bars,70,"Trace Dairy,Trace Peanuts,Sesame Free,Soy Free,Trace Tree Nuts,Gluten Free",,"Dark,Plain","Vegan,No Gluten,No Soy,No Tree Nuts,No Dairy",-238.54,Brazil,,"fruity,marginlow,marginmid,mcountry-Brazil,region-Acre"
A-LUI-106,Luisa Abram Rio Tocantins Wild Cocoa 81%,86,38,859,704,$8.09,$18.00,80,99.79,Luisa Abram,"Farm 3,Farm 1,Farm 2",Chocolate Bars,81,"Trace Dairy,Trace Peanuts,Sesame Free,Soy Free,Trace Tree Nuts,Gluten Free",,"Dark,Plain","Organic Sugar,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy",-155.36,Brazil,,"fruity,marginlow,marginmid,mcountry-Brazil,region-Tocantins"
A-LUI-107,Luisa Abram Rio Tocantins Wild Cocoa 70%,134,38,859,670,$8.09,$18.00,80,99.79,Luisa Abram,"Farm 3,Farm 1,Farm 2",Chocolate Bars,70,"Trace Dairy,Trace Peanuts,Sesame Free,Soy Free,Trace Tree Nuts,Gluten Free",AOC gold 2020,"Dark,Plain","Organic Sugar,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy",-189,Brazil,,"fruity,has-award,marginlow,marginmid,mcountry-Brazil,rare"
A-MAR-104,Marou Dak Lak 70%,15,15,281,225,$4.04,$12.00,80,88.45,Marou,"Farm 1,Farm 2,Farm 3",Chocolate Bars,70,"Trace Dairy,Peanut Free,Trace Sesame,Soy Free,Trace Tree Nuts,Gluten Free",,"Dark,Plain","Vegan,No Gluten,No Soy,No Tree Nuts,No Dairy",-56,Vietnam,,"marginlow,marginmid,mcountry-Vietnam,region-Dak Lak"
A-MAY-201,Mayana Chocolate Fix Bar,11,11,313,198,$4.50,$9.50,100,113.4,Mayana Chocolate,,Chocolate Bars,66,"Contains Dairy,Trace Peanuts,Sesame Free,Contains Soy,Trace Tree Nuts,Contains Gluten",,"Dark Milk,Filled,Inclusions",No Tree Nuts,-115,,,mcountry-United States
A-MAY-205,Mayana Chocolate Space Bar,38,38,332,201,$3.83,$9.50,100,113.4,Mayana Chocolate,,Chocolate Bars,66,"Contains Dairy,Trace Peanuts,Sesame Free,Contains Soy,Contains Tree Nuts,Trace Gluten",GF 2017,"Dark Milk,Filled,Inclusions",No Gluten,-130.82,,"Almond,Nuts","has-award,mcountry-United States"
A-MIC-106,Michel Cluizel Mangaro Dark 71%,40,20,431,277,$6.35,$16.00,70,83.91,Michel Cluizel,"Farm 1,Farm 2",Chocolate Bars,71,"Trace Dairy,Trace Peanuts,Sesame Free,Soy Free,Trace Tree Nuts,Trace Gluten",,"Dark,Plain","Vegan,No Gluten,No Soy,No Tree Nuts,No Dairy",-154.08,Madagascar,,"marginlow,mcountry-France"
A-MIC-107,Michel Cluizel Noir Infini 99%,69,69,416,230,$6.65,$16.00,70,83.91,Michel Cluizel,"Farm 1,Farm 2",Chocolate Bars,99,"Trace Dairy,Trace Peanuts,Sesame Free,Soy Free,Trace Tree Nuts,Trace Gluten",,"Dark,Plain","Keto Friendly,Vegan,No Gluten,No Soy,No Tree Nuts,No Dairy",-186,Blend,,"marginlow,mcountry-France,region-Java"
A-MIC-108,Michel Cluizel Noir 85%,94,14,416,197,$5.76,$16.00,70,90.72,Michel Cluizel,"Farm 1,Farm 2",Chocolate Bars,85,"Trace Dairy,Trace Peanuts,Sesame Free,Soy Free,Trace Tree Nuts,Trace Gluten",AOC silver 2016,"Dark,Plain","Keto Friendly,Vegan,No Gluten,No Soy,No Tree Nuts,No Dairy",-219.26,Blend,,"has-award,marginlow,mcountry-France"
A-MIR-203,Mirzam Dark Chocolate w/ Orange & Cinnamon 62%,15,15,524,225,$8.09,$16.00,70,74.84,Mirzam,"Farm 1,Farm 2",Chocolate Bars,62,"Trace Dairy,Trace Peanuts,Sesame Free,Soy Free,Trace Tree Nuts,Trace Gluten",,"Dark,Flavored,Inclusions","Vegan,No Gluten,No Soy,No Tree Nuts,No Dairy",-299,Blend,"Fruit,Spice,Orange","fudgy,marginlow,mcountry-United Arab Emirates"
A-MIS-202,Mission Chocolate Dark w/ Candied Orange Peel 70%,70,20,220,252,$4.50,$13.50,60,74.84,Mission Chocolate,"Farm 1,Farm 2,Farm 3",Chocolate Bars,72,"Dairy Free,Trace Peanuts,Sesame Free,Soy Free,Trace Tree Nuts,Gluten Free",,"Dark,Inclusions","Organic Cacao,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy",32,Brazil,"Fruit,Orange","estate-Fazenda Camboa,marginmid,mcountry-Brazil,region-Bahia"
A-MIS-208,Mission Chocolate Romeo & Juliet (White w/ Cream Cheese),58,18,220,249,$4.50,$13.50,60,74.84,Mission Chocolate,"Farm 1,Farm 2,Farm 3",Chocolate Bars,,"Contains Dairy,Trace Peanuts,Sesame Free,Soy Free,Trace Tree Nuts,Gluten Free",,"Inclusions,White","No Gluten,No Soy,No Tree Nuts",28.57,Brazil,Fruit,"marginmid,mcountry-Brazil,wonderful"
